seller_id,tenure_days,size,signup_email
S000,86,large,seller0@gmail.com
S001,39,large,seller1@gmail.com
S002,72,large,seller2@gmail.com
S003,221,large,seller3@gmail.com
S004,88,small,seller4@gmail.com
S005,334,medium,seller5@gmail.com
S006,739,medium,seller6@gmail.com
S007,891,large,seller7@gmail.com
S008,84,large,seller8@gmail.com
S009,71,large,seller9@gmail.com
S010,395,medium,seller10@gmail.com
S011,20,medium,seller11@gmail.com
S012,701,small,seller12@gmail.com
S013,31,medium,seller13@gmail.com
S014,68,large,seller14@gmail.com
S015,56,large,seller15@gmail.com
S016,192,small,seller16@gmail.com
S017,710,medium,seller17@gmail.com
S018,52,medium,seller18@gmail.com
S019,61,medium,seller19@gmail.com
S020,692,small,seller20@gmail.com
S021,75,medium,seller21@gmail.com
S022,828,large,seller22@gmail.com
S023,88,large,seller23@gmail.com
S024,81,medium,seller24@gmail.com
S025,551,small,seller25@gmail.com
S026,196,small,seller26@gmail.com
S027,54,medium,seller27@gmail.com
S028,773,large,seller28@gmail.com
S029,43,medium,seller29@gmail.com
S030,223,large,seller30@gmail.com
S031,847,large,seller31@gmail.com
S032,414,medium,seller32@gmail.com
S033,844,medium,seller33@gmail.com
S034,523,large,seller34@gmail.com
S035,122,large,seller35@gmail.com
S036,731,large,seller36@gmail.com
S037,106,large,seller37@gmail.com
S038,47,large,seller38@gmail.com
S039,190,small,seller39@gmail.com
S_RING00,15,small,ring0@mailinator.com
S_RING01,18,small,ring1@mailinator.com
S_RING02,47,small,ring2@mailinator.com
